S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#term len 0
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#show logg
S-Cat6880X-01#show logging 
Load for five secs: 5%/1%; one minute: 6%; five minutes: 6%
Time source is NTP, 21:43:54.916 JST Sun Jan 10 2016

Syslog logging: enabled (0 messages dropped, 103 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level debugging, 2474 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 1627 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 2377 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled
    Trap logging: level informational, 2462 message lines logged
        Logging Source-Interface:       VRF Name:

Log Buffer (65536 bytes):
.489: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/11, changed state to down
Sep  5 22:56:48.497: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/11, changed state to down
Sep  5 22:56:48.485: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/11 left the port-channel Port-channel111
Sep  5 22:57:01.686: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/11 left the port-channel Port-channel111
Sep  5 22:57:01.690: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/11, changed state to down
Sep  5 22:57:01.698: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/11, changed state to down
Sep  5 22:57:01.685: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/11 left the port-channel Port-channel111
Sep  5 22:57:09.099: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/11 left the port-channel Port-channel111
Sep  5 22:57:09.103: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/11, changed state to down
Sep  5 22:57:09.111: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/11, changed state to down
Sep  5 22:57:09.093: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/11 left the port-channel Port-channel111
Sep  5 22:57:15.455: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 104 moving from forwarding to disabled
Sep  5 22:57:15.455: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 254 moving from forwarding to disabled
Sep  5 22:57:15.455: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 999 moving from forwarding to disabled
Sep  5 22:57:15.455: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/11 left the port-channel Port-channel111
Sep  5 22:57:15.459: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/11, changed state to down
Sep  5 22:57:15.459: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel111, changed state to down
Sep  5 22:57:15.467: %LINK-SW1-3-UPDOWN: Interface Vlan104, changed state to down
Sep  5 22:57:15.467: %LINK-SW1-3-UPDOWN: Interface Port-channel111, changed state to down
Sep  5 22:57:15.467: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan104 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep  5 22:57:15.467: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/11, changed state to down
Sep  5 22:57:15.471: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan104, changed state to down
Sep  5 22:57:15.453: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/11 left the port-channel Port-channel111
